scientificName,taxonConceptID,dataResourceUid,stateProvince,country,zones
Hymenophyllum eboracense,https://id.biodiversity.org.au/node/apni/2913294,dr15860,Queensland,Australia,
Hymenophyllum eboracense,https://id.biodiversity.org.au/node/apni/2913294,dr15867,Queensland,Australia,
Hymenophyllum gracilescens,https://id.biodiversity.org.au/node/apni/2902972,dr13282,Queensland,Australia,
Hymenophyllum gracilescens,https://id.biodiversity.org.au/node/apni/2902972,dr15860,Queensland,Australia,
Hymenophyllum gracilescens,https://id.biodiversity.org.au/node/apni/2902972,dr15861,Queensland,Australia,
Hymenophyllum gracilescens,https://id.biodiversity.org.au/node/apni/2902972,dr15867,Queensland,Australia,
Hymenophyllum gracilescens,https://id.biodiversity.org.au/node/apni/2902972,dr2153,Queensland,Australia,
Hymenophyllum gracilescens,https://id.biodiversity.org.au/node/apni/2902972,dr376,Queensland,Australia,
Hymenophyllum kerianum,https://id.biodiversity.org.au/node/apni/2893172,dr15861,Queensland,Australia,
Hymenophyllum kerianum,https://id.biodiversity.org.au/node/apni/2893172,dr15865,Queensland,Australia,
Hymenophyllum kerianum,https://id.biodiversity.org.au/node/apni/2893172,dr15867,Queensland,Australia,
Hymenophyllum kerianum,https://id.biodiversity.org.au/node/apni/2893172,dr2153,Queensland,Australia,
Hymenophyllum pallidum,https://id.biodiversity.org.au/node/apni/7409483,dr10574,Queensland,Australia,
Hymenophyllum pallidum,https://id.biodiversity.org.au/node/apni/7409483,dr15860,Queensland,Australia,
Hymenophyllum pallidum,https://id.biodiversity.org.au/node/apni/7409483,dr15865,Queensland,Australia,
Hymenophyllum pallidum,https://id.biodiversity.org.au/node/apni/7409483,dr15867,Queensland,Australia,
Hymenophyllum pallidum,https://id.biodiversity.org.au/node/apni/7409483,dr376,Queensland,Australia,
Hymenophyllum whitei,https://id.biodiversity.org.au/node/apni/2906405,dr15867,Queensland,Australia,
Hypericum gramineum,https://id.biodiversity.org.au/node/apni/2888539,dr10574,South Island,New Zealand,
Hypericum gramineum,https://id.biodiversity.org.au/node/apni/2888539,dr15867,,New Zealand,
Hypericum gramineum,https://id.biodiversity.org.au/node/apni/2888539,dr2153,Canterbury Land District,New Zealand,
Hypericum gramineum,https://id.biodiversity.org.au/node/apni/2888539,dr2153,Hawke's Bay Land District,New Zealand,
Hypericum gramineum,https://id.biodiversity.org.au/node/apni/2888539,dr2153,Marlborough Land District,New Zealand,
Hypericum gramineum,https://id.biodiversity.org.au/node/apni/2888539,dr2153,Nelson Land District,New Zealand,
Hypericum gramineum,https://id.biodiversity.org.au/node/apni/2888539,dr2153,North Auckland Land District,New Zealand,
Hypericum gramineum,https://id.biodiversity.org.au/node/apni/2888539,dr2153,Otago Land District,New Zealand,
Hypericum gramineum,https://id.biodiversity.org.au/node/apni/2888539,dr2153,South Island,New Zealand,
Hypericum gramineum,https://id.biodiversity.org.au/node/apni/2888539,dr2153,Wellington Land District,New Zealand,
Hypericum gramineum,https://id.biodiversity.org.au/node/apni/2888539,dr2153,Westland Land District,New Zealand,
Hypericum gramineum,https://id.biodiversity.org.au/node/apni/2888539,dr2153,,New Zealand,
Hypericum gramineum,https://id.biodiversity.org.au/node/apni/2888539,dr376,Canterbury,New Zealand,
Hypericum gramineum,https://id.biodiversity.org.au/node/apni/2888539,dr376,Marlborough,New Zealand,
Hypericum gramineum,https://id.biodiversity.org.au/node/apni/2888539,dr376,South Island,New Zealand,
Hypericum gramineum,https://id.biodiversity.org.au/node/apni/2888539,dr376,,New Zealand,
Hypericum minutiflorum,NZOR-6-133849,dr2153,Canterbury Land District,New Zealand,
Hypericum minutiflorum,NZOR-6-133849,dr2153,North Island,New Zealand,
Hypericum minutiflorum,NZOR-6-133849,dr2153,South Auckland,New Zealand,
Hypericum minutiflorum,NZOR-6-133849,dr2153,Wellington Land District,New Zealand,
Hypericum minutiflorum,NZOR-6-133849,dr2153,,New Zealand,
Hypericum rubicundulum,NZOR-6-52890,dr2153,Canterbury Land District,New Zealand,
Hypericum rubicundulum,NZOR-6-52890,dr2153,Gisborne Land District,New Zealand,
Hypericum rubicundulum,NZOR-6-52890,dr2153,Hawke's Bay Land District,New Zealand,
Hypericum rubicundulum,NZOR-6-52890,dr2153,Marlborough Land District,New Zealand,
